항목0*,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울(kWh/인),"4,813.00","4,706.00","4,660.00","4,513.00","4,565.00","4,724.00","4,741.00","4,927.00","4,882.00","4,769.00"
부산(kWh/인),"3,910.00","5,969.00","5,893.00","5,788.00","5,794.00","5,938.00","6,135.00","6,240.00","6,168.00","6,132.00"
대구(kWh/인),"6,091.00","6,029.00","6,091.00","6,004.00","6,055.00","6,203.00","6,260.00","6,399.00","6,276.00","6,101.00"
인천(kWh/인),"8,205.00","8,108.00","8,013.00","7,888.00","8,052.00","8,212.00","8,385.00","8,480.00","8,248.00","8,010.00"
광주(kWh/인),"5,475.00","5,407.00","5,502.00","5,448.00","5,534.00","5,698.00","5,807.00","5,875.00","5,760.00","5,735.00"
대전(kWh/인),"6,070.00","5,948.00","5,970.00","5,862.00","5,954.00","6,106.00","6,168.00","6,357.00","6,241.00","6,269.00"
울산(kWh/인),"25,500.00","26,108.00","26,368.00","26,160.00","26,025.00","27,521.00","27,278.00","29,232.00","29,775.00","29,093.00"
세종(kWh/인),0,0,0,"18,401.00","14,109.00","11,953.00","10,993.00","10,171.00","9,743.00","9,726.00"
경기(kWh/인),"8,334.00","8,376.00","8,430.00","8,320.00","8,456.00","8,683.00","8,983.00","9,415.00","9,293.00","9,302.00"
강원(kWh/인),"10,827.00","10,573.00","10,490.00","10,448.00","10,686.00","10,850.00","10,884.00","11,077.00","10,793.00","10,640.00"
충북(kWh/인),"13,404.00","13,751.00","13,845.00","14,052.00","14,440.00","14,997.00","15,440.00","16,209.00","16,445.00","16,489.00"
충남(kWh/인),"20,404.00","21,014.00","21,925.00","22,655.00","22,487.00","22,789.00","23,303.00","23,863.00","24,063.00","22,873.00"
전북(kWh/인),"11,854.00","11,809.00","11,922.00","12,188.00","12,036.00","12,387.00","12,469.00","12,615.00","12,356.00","11,460.00"
전남(kWh/인),"15,413.00","15,982.00","16,987.00","17,704.00","18,167.00","18,404.00","18,697.00","19,058.00","18,267.00","17,557.00"
경북(kWh/인),"16,852.00","16,869.00","17,078.00","17,229.00","16,789.00","16,639.00","16,992.00","17,185.00","16,631.00","15,441.00"
경남(kWh/인),"10,332.00","10,110.00","10,229.00","10,109.00","10,172.00","10,336.00","10,376.00","10,477.00","10,291.00","10,170.00"
제주(kWh/인),"6,862.00","6,891.00","7,184.00","7,234.00","7,392.00","7,666.00","7,896.00","8,078.00","8,149.00","8,017.00"
